# dirty words, add() ms, build() ms, search() avg ms, filter() avg ms
40800,6,218321,48313,173.4
41000,6,221209,48166.5,177.8
41200,5,231917,50446,176.2
41400,7,222463,48338.5,177.8
41600,7,225352,49192,177.6
41800,0,226379,51926,177
42000,8,225629,49997.5,174.6
42200,6,229389,50145,191.6
42400,6,233495,50671.5,182.8
42600,6,232385,50615.5,178.2
42800,6,232125,51055.5,183.4
43000,6,243890,53602.5,197.8
43200,7,242590,51158.5,180.8
43400,6,237014,52046,194.4
43600,7,242754,51174.5,174.2
43800,6,253294,51995.5,174.8
44000,6,248546,55439,179.6
44200,6,249841,52045,184.2
44400,7,248851,53012,175.6
44600,6,247929,53571,187.8
44800,7,252947,52612,177.8
45000,6,252775,53171,186
45200,6,258707,54890,182
45400,5,258139,54090.5,182.4
45600,6,253903,53793,183.2
45800,5,256711,54184,181
46000,0,255148,54363,185.2
46200,6,257948,54947,179.6
46400,0,267939,55705.5,181.8
46600,7,258070,54166.5,178.4
46800,6,258913,55673,180.2
47000,6,274788,55219,183
47200,7,264825,56261,185.2
47400,0,277171,57966,187
47600,6,268860,56597,177.4
47800,5,273536,57803.5,181.4
48000,7,276802,57665.5,186
48200,6,271176,57683,185.8
48400,7,274524,56813,184.8
48600,7,269539,56516,181.8
48800,7,268908,58751.5,181
49000,6,278354,57179,178.6
49200,6,270675,57461.5,182.6
49400,7,273113,59478,189.6
49600,8,282645,58667.5,182.2
49800,7,279103,58955,183.6
50000,7,281257,57998,175.6
50200,5,274515,58390.5,182.8
50400,5,289128,61166.5,189.2
50600,6,276815,59999.5,183.8
50800,6,286079,60419,183.8
51000,7,296490,59458.5,182
51200,6,283659,60622,187
51400,7,297388,63308,183.8
51600,6,286589,61310.5,179.2
51800,6,292130,63933,186.2
52000,7,289191,61184.5,183.4
52200,6,289208,62708.5,442.6
52400,6,305621,62043.5,181.4
52600,6,285863,61405.5,182.8
52800,7,303196,64645,198.2
53000,10,306056,62301.5,187.4
53200,6,298875,68920,192.8
53400,6,310235,63616.5,185.6
53600,10,296675,65646.5,189.4
53800,6,312121,64523.5,184.8
54000,0,297321,64077,192.4
54200,7,309422,66516.5,183.4
54400,6,304366,63831.5,185.6
54600,0,304787,66515.5,193.4
54800,6,310956,64529.5,185.4
55000,6,308892,67246,193.4
55200,7,320068,67965.5,183.8
55400,6,309685,65153.5,182.4
55600,7,307397,64911.5,183.8
55800,7,309011,65169,181.4
56000,6,315573,65645.5,180.2
56200,0,305130,65688,181
56400,8,326214,68245.5,188.8
56600,0,307790,65911.5,189.6
56800,6,315373,70940.5,192.4
57000,6,312269,66163.5,114.8
57200,0,317038,67954,188.2
57400,6,322589,67892,182.2
57600,11,326385,68900.5,186.8
57800,6,319158,67407,177.4
58000,7,317957,67907.5,189
58200,6,336926,70850,187.8
58400,6,324670,68607.5,183.6
58600,6,331302,68312.5,183.4
58800,7,322378,68215.5,185
59000,6,327408,70789.5,189.8
59200,6,331957,69956,186.4
59400,6,346964,75616,189.6
59600,7,326501,69847.5,182.6
59800,5,340887,70522.5,185.4
60000,8,340371,70102.5,190
60200,6,343293,76015.5,196.2
60400,7,346813,70541,187.2
60600,6,341060,72760.5,198.4
60800,6,341493,71481.5,190.8
61000,6,338205,75532,189.4
61200,7,341710,71461,184.8
61400,7,349588,74240.5,193.2
61600,6,347022,72909,191.6
61800,0,345492,75570.5,184.6
62000,6,347298,73115,185.8
62200,6,350971,73318,183.4
62400,12,364731,75285.5,187.8
62600,7,340729,75885.5,193.2
62800,6,353140,73340,182.4
63000,6,338657,72447.5,182
63200,10,347783,72611,181.2
63400,6,344212,76729,182.8
63600,9,353548,74151,186
63800,6,353573,74393.5,183.8
64000,8,345035,74230.5,182.2
64200,8,351177,79758.5,189.6
64400,7,357597,75063,186.4
64600,5,355224,75533.5,193.8
64800,6,356226,76025,185.2
65000,6,362771,81343,189.6
65200,6,363906,75694.5,183.8
65400,0,368237,78718,187.2
65600,6,357517,75567,183.2
65800,5,358382,76266.5,186.6
66000,7,364239,76318.5,187.4
66200,6,375868,81049,216.2
66400,6,373357,77500,189.8
66600,6,371444,78753.5,206.6
66800,8,376421,80755,200.2
67000,7,380947,78557.5,191
67200,0,365510,80112.5,189.2
67400,6,378665,79305,182.4
67600,7,373927,78606.5,190.6
67800,6,381518,78029,181.8
68000,7,365981,80320,189.8
68200,6,379801,80007,188.4
68400,6,382444,79937,187.2
68600,11,373843,79073.5,186
68800,7,386449,80801.5,183
69000,7,364723,78839,184.6
69200,6,372904,88933,185.6
69400,8,385505,82009,193.6
69600,7,381112,79644.5,186.4
69800,7,372531,81643.5,208.2
70000,8,383032,80152.5,185.4
70200,11,379385,83482,187.4
70400,6,386534,80655,184.4
70600,7,382699,84636.5,190.4
70800,6,386105,81900,187.2
71000,7,389113,82423.5,189.2
71200,6,381248,81201,183.4
71400,7,384876,82848,187
71600,6,392201,84627,179.2
71800,0,402368,84692,191.2
72000,8,401639,86432.5,183.6
72200,11,389056,82942,187
72400,6,393049,85470.5,185.4
72600,7,387889,82625.5,187.6
72800,0,399407,85331,185
73000,6,391586,86491,188.6
73200,6,401325,85024.5,184.2
73400,11,402864,87357,187.4
73600,7,411727,87481.5,193.4
73800,5,417289,86804.5,185
74000,7,406066,91502,193.4
74200,6,428452,85784,187.4
74400,6,403080,86208,192.4
74600,6,408952,86061,180.8
74800,7,411720,91721.5,191.8
75000,5,408391,87756.5,186.4
75200,6,413733,87729,186.8
75400,6,409212,89498.5,187.2
75600,11,412211,87954.5,186.4
75800,6,414898,89323.5,191.4
76000,6,411659,87047,182.6
76200,8,424482,88005.5,180.4
76400,6,402313,87386,185.8
76600,6,411977,89198,186
76800,0,404870,88478.5,185.8
77000,6,416272,88668.5,182.6
77200,10,426060,89909.5,197.2
77400,6,430121,89828,186.6
77600,7,430320,89155,182.2
77800,8,420920,89478.5,184.6
78000,9,431020,89976.5,187.4
78200,6,445060,94044.5,187.6
78400,7,432468,91620,191
78600,6,426580,96887,184.4
78800,8,449233,93306,185
79000,7,428645,96633,193.4
79200,6,439632,92727.5,188
79400,6,433535,95014.5,185.8
79600,6,437172,92895.5,187.2
79800,6,454682,94008,188.2
80000,8,433055,92512.5,184
80200,15,428421,92145,184.8
80400,6,441707,93593,184.2
80600,6,431027,92886.5,190.2
80800,6,451556,94305.5,189.2
81000,7,449089,95954,184.8
81200,11,429953,93449.5,187.6
81400,6,451190,93698.5,185.6
81600,5,432812,95843,185.2
81800,6,435527,93359,190.4
82000,7,461437,96668,204.8
82200,6,434822,94547,179.8
82400,5,454099,95783,183.4
82600,8,444687,96784.5,196.4
82800,6,441265,95423.5,184.4
83000,6,463787,97827,190.6
83200,6,452132,100262,186.8
83400,7,444090,95885,192.2
83600,6,456943,96332,184.8
83800,6,449557,96797,187.8
84000,12,447231,96402,187.2
84200,6,470568,99364.5,185.4
84400,6,465057,103310,192.8
84600,7,460728,101462,186.8
84800,12,469254,97973,184
85000,0,453999,100880,195.8
85200,6,468903,97911.5,184.8
85400,11,475467,103976,185
85600,0,449427,101014,203.6
85800,10,473809,103408,194.6
86000,7,477986,100251,188.4
86200,6,460473,100626,193
86400,11,461612,99634,192.8
86600,7,477144,99194,189.8
86800,16,467439,106447,193.6
87000,6,465783,102554,189.8
87200,6,483436,104291,182.6
87400,5,467308,99976.5,185.8
87600,5,460102,99928,184.6
87800,6,463716,100254,184.2
88000,7,468271,107563,188
88200,6,475691,106334,194.6
88400,0,474819,101317,183.2
88600,8,477376,106020,183
88800,0,475775,111696,210.2
89000,6,488488,104112,198.8
89200,7,488772,102870,184.2
89400,6,484142,103282,184.8
89600,6,485845,103067,186.4
89800,6,491859,104026,183.8
90000,7,494822,109020,183.8
90200,6,474451,110524,197.2
90400,7,485321,102864,182.6
90600,6,481344,103066,184.2
90800,6,495032,110765,195.2
91000,6,483599,103627,181.8
91200,5,508752,111275,187
91400,6,501452,105780,187.2
91600,5,498068,106070,203.8
91800,7,497106,103184,180.2
92000,8,501896,105426,184.8
92200,7,504779,106798,194
92400,6,505640,105523,185.8
92600,7,503455,105186,185.8
92800,6,503119,105522,186.4
93000,7,503869,107234,185.6
93200,8,509295,107883,189.6
93400,6,535142,108650,186.8
93600,7,522138,107786,206.8
93800,5,512163,112871,192.2
94000,0,514488,107514,185.2
94200,6,527278,108301,184.8
94400,7,524889,114861,190.8
94600,7,536709,107881,181.4
94800,0,525059,107285,183.2
95000,7,542655,113616,196.6
95200,8,551238,119014,195.4
95400,7,544553,118188,208.2
95600,6,566250,113161,193
95800,7,563804,115034,198
96000,6,561287,119143,201.6
96200,6,564691,122800,199.2
96400,6,549117,120410,227.6
96600,7,555737,115558,197.6
96800,6,572924,113890,186
97000,7,554928,115020,198.6
97200,5,552668,122081,196.6
97400,7,568899,119856,209.6
97600,6,565315,112832,195
97800,0,583612,118672,204.4
98000,0,581809,119068,201.8
98200,7,570189,118613,196.4
98400,7,568091,121280,199.8
98600,6,580997,122461,202.8
98800,0,583057,117708,204.4
99000,6,583263,120623,187.8
99200,6,561989,114248,190.2
99400,6,550827,124262,198.8
99600,6,548643,121220,189.2
99800,7,551083,121232,194
100000,7,565140,115950,191.2
100200,5,563521,115674,189.6
100400,7,544017,122530,190.6
100600,6,555058,114888,186.8
100800,7,576184,117947,188.6
101000,6,561700,117981,189.2
101200,6,573984,120886,188.2
101400,7,552237,122844,194
101600,0,547911,117405,188.6
101800,6,575265,116250,188.4
102000,6,573535,119246,187.2
102200,6,569608,120846,193.4
102400,0,563275,117142,191
102600,7,561992,126111,187.8
102800,6,573327,121603,193.6
103000,7,567530,116798,183.2
103200,5,561317,119242,187.8
103400,7,569641,119896,189
103600,6,563472,119060,190.6
103800,0,553057,117905,180.8
104000,6,571894,117988,183.4
104200,6,576870,119989,186.4
104400,7,565806,126270,189.8
104600,6,571124,125780,193.8
104800,6,569126,126835,197
105000,14,593249,121368,193
105200,6,582633,119692,188.6
105400,7,585201,128416,189.8
105600,7,574491,122072,187.8
105800,6,562342,128159,192
106000,7,582297,127494,198
106200,7,573929,120308,190.4
106400,7,590898,121993,184.2
106600,6,585052,122932,190.8
106800,6,593539,126005,192.4
107000,8,586271,124615,188.6
107200,6,580073,122152,192.4
107400,7,599713,124384,189.6
107600,6,598671,122806,190
107800,6,601049,126919,191.6
108000,7,600721,123044,187.8
108200,6,591419,130300,195.2
108400,5,586810,131982,188.8
108600,6,577154,131757,195.2
108800,7,610648,123962,190.4
109000,6,620825,127854,201.6
109200,6,611957,123872,189.2
109400,6,597258,127345,194
109600,7,611334,131752,197
109800,6,598822,134595,201.2
110000,6,607935,126204,190.2
110200,6,600255,124696,192.8
110400,8,600882,125618,190.6
110600,6,603647,126186,193.6
110800,6,617040,130312,193.2
111000,7,616742,128180,187.8
111200,6,600230,127198,191.6
111400,0,597404,127236,186.2
111600,6,603490,126702,191
111800,6,630846,129821,190
112000,7,638137,128594,192.6
112200,6,630330,130868,193.2
112400,6,626775,134346,196.4
112600,6,635878,128930,192
112800,7,613319,131534,189
113000,6,606894,133148,192.4
113200,8,629875,138996,201.6
113400,7,624686,132488,191.2
113600,6,634612,128577,188.4
113800,7,622903,134844,191.2
114000,7,633704,132263,196.8
114200,7,632555,131414,191.4
114400,7,620518,128491,190.2
114600,6,611939,130504,188.8
114800,6,612354,138780,199.4
115000,8,620156,139602,191.8
115200,6,632155,133286,196
115400,5,624029,129858,189.2
115600,7,631691,131053,192.8
115800,7,627005,132485,194.6
116000,8,633883,130547,192.6
116200,7,634297,130522,191.8
116400,6,619699,130982,187.4
116600,8,622870,131426,194.6
116800,7,639876,134968,192.6
117000,6,630647,138164,221.6
117200,0,625794,131732,188
117400,6,654532,133464,192.4
117600,7,638540,135247,198.6
117800,6,648729,134534,191.6
118000,7,659115,135286,194.2
118200,7,642364,135259,195.2
118400,6,663680,134870,194.2
118600,6,640975,132904,190.2
118800,6,645492,136971,194
119000,7,649682,134660,190.6
119200,6,637274,135883,194.2
119400,7,655432,138572,190
119600,7,654739,140068,203.8
119800,7,660137,139578,186.8
120000,8,644129,135022,194.4
120200,6,650296,134210,192.2
120400,5,644089,134418,0
120600,0,646397,136128,193.8
120800,6,657267,145846,189.6
121000,6,672441,138694,195.8
121200,6,672751,137172,182.4
121400,7,648287,137620,195.4
121600,6,670198,143081,190.8
121800,7,674828,135958,183.4
122000,5,651377,141405,211.8
122200,6,660643,140163,190.4
122400,6,652649,149070,202.4
122600,7,678161,147292,198.8
122800,6,674129,145724,209
123000,7,676686,147376,193
123200,7,672078,142936,198
123400,6,671295,141217,195
123600,7,665378,145997,197.2
123800,6,678056,142930,202
124000,6,663667,138876,199.6
124200,6,692037,143734,189.2
124400,6,664886,138923,195.2
124600,6,694579,145280,194.2
124800,6,699390,147314,198
125000,5,688405,140171,194.6
125200,6,675404,141058,194.2
125400,5,697390,143630,195
125600,7,713162,144783,191.6
125800,6,711513,147103,191.2
126000,7,673841,141702,191
