# dirty words, add() ms, build() ms, search() avg ms, filter() avg ms
183800,7,1006236,222654,222.6
184000,6,988815,203640,198.4
184200,6,1009168,218356,211.2
184400,0,1020807,206436,200.6
184600,6,992664,212638,208
184800,6,979887,216628,204.4
185000,8,1007227,203840,212.8
185200,8,1008063,216685,198.2
185400,6,983911,205614,200.6
185600,6,1017691,209703,200.2
185800,6,1007938,215106,200.8
186000,6,1018973,210187,202.4
186200,7,1003413,225336,205.2
186400,6,1024139,209550,208.8
186600,6,1051517,214184,201.4
186800,7,1015694,215486,213.8
187000,6,1036782,212616,201.2
187200,0,986163,207104,202.2
187400,8,997510,219277,206.2
187600,6,998222,208326,195
187800,6,998721,211608,206.2
188000,6,993835,208066,202
188200,7,992028,209569,201.4
188400,0,1032300,222166,201.2
188600,7,1006841,209978,207.8
188800,16,1008659,210862,202.8
189000,6,1004914,209222,199.4
189200,7,1003582,223756,210.4
189400,7,1038685,212347,209.6
189600,5,1013373,216479,237.6
189800,5,1018418,214080,199.6
190000,7,1010892,216236,225
190200,7,1037813,236940,203.4
190400,7,1023892,223962,208.4
190600,6,1042094,212408,204.6
190800,6,1041565,219740,217.4
191000,6,1042735,225041,225.4
191200,6,1057877,212531,203.8
191400,6,1012319,214961,207
191600,6,1034069,220065,278.2
191800,0,1049131,224612,194.4
192000,6,1018572,215073,203.6
192200,6,1065854,228052,210.6
192400,6,1018379,211677,198.2
192600,6,1019709,214342,207.2
192800,6,1054678,221266,222.6
193000,6,1050458,230321,207.4
193200,7,1049031,234630,212.8
193400,7,1043338,218236,199
193600,0,1025220,222722,202.2
193800,7,1036582,219847,205
194000,7,1059674,215081,198
194200,7,1057141,231957,207.8
194400,6,1025191,228752,205
194600,6,1078558,224614,211.8
194800,13,1078169,223148,213.8
195000,6,1088086,222246,215
195200,7,1070584,224360,213.2
195400,13,1070527,231941,209
195600,6,1077671,225872,221.2
195800,7,1086703,230500,202.8
196000,6,1089349,224068,217.2
196200,7,1065522,218276,206
196400,6,1061146,216528,197
196600,6,1054796,216224,200.6
196800,6,1084260,227170,222.8
197000,6,1061807,218844,199.4
197200,7,1053273,218386,202.8
197400,6,1072097,221016,206.8
197600,6,1062256,217980,201.4
197800,16,1057483,219820,197.6
198000,6,1064837,220004,202
198200,6,1121265,222125,197
198400,7,1062566,232213,208
198600,7,1092382,221726,205.4
198800,6,1060201,219242,205.6
199000,7,1073235,217572,198.6
199200,5,1065537,225118,218.6
199400,6,1085923,218655,203
199600,7,1080761,233668,206.4
199800,6,1089483,221030,216.2
200000,6,1133576,222636,204.8
